Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
00015100012L,,,0005,0027,0066,WE BUSH GAITER CHARCOAL L,EACH,WE,5,5,S,,U,9327868040797
00015100012M,,,0005,0027,0066,WE BUSH GAITER CHARCOAL M,EACH,WE,5,5,S,,U,9327868040803
00015100012S,,,0005,0027,0066,WE BUSH GAITER CHARCOAL S,EACH,WE,3,3,S,,U,9327868040810
00015100012XL,,,0005,0027,0066,WE BUSH GAITER CHARCOAL XL,EACH,WE,2,2,S,,U,9327868040780
00015300003160,,,0005,0028,0067,TOB LACE FLAT 160CM BROWN 160,EACH,TOB,11,11,S,,U,9001406867137
00015400003140,,,0005,0028,0067,TOB LACE ROUN 140CM BROWN 140,EACH,TOB,3,3,S,,U,9001406757131
00015400006140,,,0005,0028,0067,TOB LACE ROUN 140CM RED 140,EACH,TOB,9,9,S,,U,9001406756608
00015400368140,,,0005,0028,0067,TOB LACE ROUN 140CM FLECK 140,EACH,TOB,3,3,S,,U,9001406759043
000155,,,0022,0105,0263,NIK AQUE WAX 125ML,EACH,NIK,6,6,S,,,5020716751008
000158,,,0022,0105,0263,NIK FABR LEATHER 125ML,EACH,NIK,4,4,S,,,5020716791004
000161,,,0022,0105,0263,NIK NUBUCK 125ML,EACH,NIK,4,4,S,,,5020716771006
000163,,,0022,0104,0260,GEA REVIVEX BOOT+SHOE CLEANER,EACH,GEA,6,6,S,,,021563362503
000164,,,0022,0105,0263,GEA REVIVEX LEATHER WATER REPE,EACH,GEA,2,2,S,,,021563362602
000167,,,0022,0105,0263,ATS SNOW SEAL JAR 200G,EACH,ATS,3,3,S,,,074928000084
000168,,,0022,0105,0263,ATS SNOW SEAL TUBE 100G,EACH,ATS,2,2,S,,,074928000077
0001699999936,,,0005,0029,0068,SCA FOOT BED NC 36,EACH,SCA,1,1,S,,U,8025228513875
0001699999938,,,0005,0029,0068,SCA FOOT BED NC 38,EACH,SCA,1,1,S,,U,8025228577594
0001699999939,,,0005,0029,0068,SCA FOOT BED NC 39,EACH,SCA,2,2,S,,U,8025228577600
0001699999940,,,0005,0029,0068,SCA FOOT BED NC 40,EACH,SCA,1,1,S,,U,8025228577617
0001699999941,,,0005,0029,0068,SCA FOOT BED NC 41,EACH,SCA,2,2,S,,U,8025228577624
0001699999942,,,0005,0029,0068,SCA FOOT BED NC 42,EACH,SCA,1,1,S,,U,8025228577631
0001699999943,,,0005,0029,0068,SCA FOOT BED NC 43,EACH,SCA,2,2,S,,U,802522857764
0001699999944,,,0005,0029,0068,SCA FOOT BED NC 44,EACH,SCA,2,2,S,,U,8025228577655
0001699999945,,,0005,0029,0068,SCA FOOT BED NC 45,EACH,SCA,2,2,S,,U,8025228577662
0001699999946,,,0005,0029,0068,SCA FOOT BED NC 46,EACH,SCA,2,2,S,,U,8025228577679
0001699999947,,,0005,0029,0068,SCA FOOT BED NC 47,EACH,SCA,1,1,S,,U,8025228577686
0001699999948,,,0005,0029,0068,SCA FOOT BED NC 48,EACH,SCA,1,1,S,,U,8025228577693
0001699999949,,,0005,0029,0068,SCA FOOT BED NC 49,EACH,SCA,1,1,S,,U,8025228514001
00025700002NS,,,0011,0046,0123,CB BIG BITE VALVE BLUE NS,EACH,CB,3,3,S,,U,713852900113
000270,,,0011,0046,0123,MSR DROM HYDR KIT,EACH,MSR,2,2,S,,,040818570609
000274,,,0011,0046,0123,SEA PACK TAP 4L,EACH,SEA,2,2,S,,,9327868002016
000275,,,0011,0046,0123,SEA PACK TAP 6L,EACH,SEA,3,3,S,,,9327868002023
000315,,,0012,0053,0137,PAC PAC SAFE 120L MESH LOCK,EACH,PAC,1,1,S,,,688334014209
000338,,,0012,0054,0138,KOR TRAVEL UMBRELLA,EACH,KOR,6,6,S,,,9312794525258
00034699999M,,,0012,0054,0138,NAL TRAVEL KIT NC M,EACH,NAL,1,1,S,,U,661195410014
